date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2010-03-31,S12000005,All Adults,All Sectors,310,Clackmannanshire,2009/10
2010-03-31,S12000005,All Adults,Local Authority/Health Board Sectors,52,Clackmannanshire,2009/10
2010-03-31,S12000005,All Adults,Private Sector,206,Clackmannanshire,2009/10
2010-03-31,S12000005,All Adults,Voluntary or Not for Profit Sector,52,Clackmannanshire,2009/10
2010-03-31,S12000006,All Adults,All Sectors,1379,Dumfries and Galloway,2009/10
2010-03-31,S12000006,All Adults,Local Authority/Health Board Sectors,15,Dumfries and Galloway,2009/10
2010-03-31,S12000006,All Adults,Private Sector,927,Dumfries and Galloway,2009/10
2010-03-31,S12000006,All Adults,Voluntary or Not for Profit Sector,437,Dumfries and Galloway,2009/10
2010-03-31,S12000008,All Adults,All Sectors,1028,East Ayrshire,2009/10
2010-03-31,S12000008,All Adults,Local Authority/Health Board Sectors,20,East Ayrshire,2009/10
2010-03-31,S12000008,All Adults,Private Sector,1008,East Ayrshire,2009/10
2010-03-31,S12000008,All Adults,Voluntary or Not for Profit Sector,0,East Ayrshire,2009/10
2010-03-31,S12000010,All Adults,All Sectors,692,East Lothian,2009/10
2010-03-31,S12000010,All Adults,Local Authority/Health Board Sectors,155,East Lothian,2009/10
2010-03-31,S12000010,All Adults,Private Sector,472,East Lothian,2009/10
2010-03-31,S12000010,All Adults,Voluntary or Not for Profit Sector,65,East Lothian,2009/10
2010-03-31,S12000011,All Adults,All Sectors,636,East Renfrewshire,2009/10
2010-03-31,S12000011,All Adults,Local Authority/Health Board Sectors,34,East Renfrewshire,2009/10
2010-03-31,S12000011,All Adults,Private Sector,397,East Renfrewshire,2009/10
2010-03-31,S12000011,All Adults,Voluntary or Not for Profit Sector,205,East Renfrewshire,2009/10
2010-03-31,S12000013,All Adults,All Sectors,227,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,All Adults,Local Authority/Health Board Sectors,148,Na h-Eileanan Siar,2009/10
