Date,KeyStatistic,CA,CAQF,MainClientGroup,MainClientGroupQF,Sector,SectorQF,Unit,Value,ValueQF
20100331,Number of Long Stay Residents,S12000005,,All Adults,d,All Sectors,d,Number,250,
20100331,Number of Long Stay Residents,S12000005,,All Adults,d,Local Authority/Health Board Sectors,,Number,40,
20100331,Number of Long Stay Residents,S12000005,,All Adults,d,Private Sector,,Number,160,
20100331,Number of Long Stay Residents,S12000005,,All Adults,d,Voluntary or Not for Profit Sector,,Number,50,
20100331,Number of Long Stay Residents,S12000006,,All Adults,d,All Sectors,d,Number,1052,
20100331,Number of Long Stay Residents,S12000006,,All Adults,d,Local Authority/Health Board Sectors,,Number,13,
20100331,Number of Long Stay Residents,S12000006,,All Adults,d,Private Sector,,Number,737,
20100331,Number of Long Stay Residents,S12000006,,All Adults,d,Voluntary or Not for Profit Sector,,Number,302,
20100331,Number of Long Stay Residents,S12000008,,All Adults,d,All Sectors,d,Number,838,
20100331,Number of Long Stay Residents,S12000008,,All Adults,d,Local Authority/Health Board Sectors,,Number,11,
20100331,Number of Long Stay Residents,S12000008,,All Adults,d,Private Sector,,Number,827,
20100331,Number of Long Stay Residents,S12000008,,All Adults,d,Voluntary or Not for Profit Sector,,Number,0,
20100331,Number of Long Stay Residents,S12000010,,All Adults,d,All Sectors,d,Number,571,
20100331,Number of Long Stay Residents,S12000010,,All Adults,d,Local Authority/Health Board Sectors,,Number,,c
20100331,Number of Long Stay Residents,S12000010,,All Adults,d,Private Sector,,Number,394,
20100331,Number of Long Stay Residents,S12000010,,All Adults,d,Voluntary or Not for Profit Sector,,Number,53,
20100331,Number of Long Stay Residents,S12000011,,All Adults,d,All Sectors,d,Number,516,
20100331,Number of Long Stay Residents,S12000011,,All Adults,d,Local Authority/Health Board Sectors,,Number,28,
20100331,Number of Long Stay Residents,S12000011,,All Adults,d,Private Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000011,,All Adults,d,Voluntary or Not for Profit Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000013,,All Adults,d,All Sectors,d,Number,181,
20100331,Number of Long Stay Residents,S12000013,,All Adults,d,Local Authority/Health Board Sectors,,Number,110,
20100331,Number of Long Stay Residents,S12000013,,All Adults,d,Private Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000013,,All Adults,d,Voluntary or Not for Profit Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000014,,All Adults,d,All Sectors,d,Number,945,
20100331,Number of Long Stay Residents,S12000014,,All Adults,d,Local Authority/Health Board Sectors,,Number,141,
20100331,Number of Long Stay Residents,S12000014,,All Adults,d,Private Sector,,Number,742,
20100331,Number of Long Stay Residents,S12000014,,All Adults,d,Voluntary or Not for Profit Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000017,,All Adults,d,All Sectors,d,Number,1886,
20100331,Number of Long Stay Residents,S12000017,,All Adults,d,Local Authority/Health Board Sectors,,Number,229,
20100331,Number of Long Stay Residents,S12000017,,All Adults,d,Private Sector,,Number,1436,
20100331,Number of Long Stay Residents,S12000017,,All Adults,d,Voluntary or Not for Profit Sector,,Number,221,
20100331,Number of Long Stay Residents,S12000018,,All Adults,d,All Sectors,d,Number,780,
20100331,Number of Long Stay Residents,S12000018,,All Adults,d,Local Authority/Health Board Sectors,,Number,0,
20100331,Number of Long Stay Residents,S12000018,,All Adults,d,Private Sector,,Number,499,
20100331,Number of Long Stay Residents,S12000018,,All Adults,d,Voluntary or Not for Profit Sector,,Number,281,
20100331,Number of Long Stay Residents,S12000019,,All Adults,d,All Sectors,d,Number,587,
20100331,Number of Long Stay Residents,S12000019,,All Adults,d,Local Authority/Health Board Sectors,,Number,,c
20100331,Number of Long Stay Residents,S12000019,,All Adults,d,Private Sector,,Number,347,
20100331,Number of Long Stay Residents,S12000019,,All Adults,d,Voluntary or Not for Profit Sector,,Number,106,
20100331,Number of Long Stay Residents,S12000020,,All Adults,d,All Sectors,d,Number,540,
20100331,Number of Long Stay Residents,S12000020,,All Adults,d,Local Authority/Health Board Sectors,,Number,,c
20100331,Number of Long Stay Residents,S12000020,,All Adults,d,Private Sector,,Number,451,
20100331,Number of Long Stay Residents,S12000020,,All Adults,d,Voluntary or Not for Profit Sector,,Number,88,
20100331,Number of Long Stay Residents,S12000021,,All Adults,d,All Sectors,d,Number,1033,
20100331,Number of Long Stay Residents,S12000021,,All Adults,d,Local Authority/Health Board Sectors,,Number,37,
20100331,Number of Long Stay Residents,S12000021,,All Adults,d,Private Sector,,Number,871,
20100331,Number of Long Stay Residents,S12000021,,All Adults,d,Voluntary or Not for Profit Sector,,Number,125,
20100331,Number of Long Stay Residents,S12000023,,All Adults,d,All Sectors,d,Number,107,
20100331,Number of Long Stay Residents,S12000023,,All Adults,d,Local Authority/Health Board Sectors,,Number,92,
20100331,Number of Long Stay Residents,S12000023,,All Adults,d,Private Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000023,,All Adults,d,Voluntary or Not for Profit Sector,,Number,5,
20100331,Number of Long Stay Residents,S12000026,,All Adults,d,All Sectors,d,Number,714,
20100331,Number of Long Stay Residents,S12000026,,All Adults,d,Local Authority/Health Board Sectors,,Number,175,
20100331,Number of Long Stay Residents,S12000026,,All Adults,d,Private Sector,,Number,385,
20100331,Number of Long Stay Residents,S12000026,,All Adults,d,Voluntary or Not for Profit Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000027,,All Adults,d,All Sectors,d,Number,121,
20100331,Number of Long Stay Residents,S12000027,,All Adults,d,Local Authority/Health Board Sectors,,Number,106,
20100331,Number of Long Stay Residents,S12000027,,All Adults,d,Private Sector,,Number,0,
20100331,Number of Long Stay Residents,S12000027,,All Adults,d,Voluntary or Not for Profit Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000028,,All Adults,d,All Sectors,d,Number,928,
20100331,Number of Long Stay Residents,S12000028,,All Adults,d,Local Authority/Health Board Sectors,,Number,45,
20100331,Number of Long Stay Residents,S12000028,,All Adults,d,Private Sector,,Number,752,
20100331,Number of Long Stay Residents,S12000028,,All Adults,d,Voluntary or Not for Profit Sector,,Number,131,
20100331,Number of Long Stay Residents,S12000029,,All Adults,d,All Sectors,d,Number,2448,
20100331,Number of Long Stay Residents,S12000029,,All Adults,d,Local Authority/Health Board Sectors,,Number,252,
20100331,Number of Long Stay Residents,S12000029,,All Adults,d,Private Sector,,Number,1782,
20100331,Number of Long Stay Residents,S12000029,,All Adults,d,Voluntary or Not for Profit Sector,,Number,414,
20100331,Number of Long Stay Residents,S12000030,,All Adults,d,All Sectors,d,Number,691,
20100331,Number of Long Stay Residents,S12000030,,All Adults,d,Local Authority/Health Board Sectors,,Number,,c
20100331,Number of Long Stay Residents,S12000030,,All Adults,d,Private Sector,,Number,515,
20100331,Number of Long Stay Residents,S12000030,,All Adults,d,Voluntary or Not for Profit Sector,,Number,,c
20100331,Number of Long Stay Residents,S12000033,,All Adults,d,All Sectors,d,Number,1821,
20100331,Number of Long Stay Residents,S12000033,,All Adults,d,Local Authority/Health Board Sectors,,Number,,c
20100331,Number of Long Stay Residents,S12000033,,All Adults,d,Private Sector,,Number,1092,
20100331,Number of Long Stay Residents,S12000033,,All Adults,d,Voluntary or Not for Profit Sector,,Number,529,
20100331,Number of Long Stay Residents,S12000034,,All Adults,d,All Sectors,d,Number,1767,
20100331,Number of Long Stay Residents,S12000034,,All Adults,d,Local Authority/Health Board Sectors,,Number,239,
20100331,Number of Long Stay Residents,S12000034,,All Adults,d,Private Sector,,Number,1245,
20100331,Number of Long Stay Residents,S12000034,,All Adults,d,Voluntary or Not for Profit Sector,,Number,283,
20100331,Number of Long Stay Residents,S12000035,,All Adults,d,All Sectors,d,Number,545,
20100331,Number of Long Stay Residents,S12000035,,All Adults,d,Local Authority/Health Board Sectors,,Number,77,
20100331,Number of Long Stay Residents,S12000035,,All Adults,d,Private Sector,,Number,363,
20100331,Number of Long Stay Residents,S12000035,,All Adults,d,Voluntary or Not for Profit Sector,,Number,105,
20100331,Number of Long Stay Residents,S12000036,,All Adults,d,All Sectors,d,Number,3034,
20100331,Number of Long Stay Residents,S12000036,,All Adults,d,Local Authority/Health Board Sectors,,Number,479,
20100331,Number of Long Stay Residents,S12000036,,All Adults,d,Private Sector,,Number,1709,
20100331,Number of Long Stay Residents,S12000036,,All Adults,d,Voluntary or Not for Profit Sector,,Number,846,
20100331,Number of Long Stay Residents,S12000038,,All Adults,d,All Sectors,d,Number,1290,
