Date,KeyStatistic,CA,CAQF,MainClientGroup,MainClientGroupQF,Sector,SectorQF,Unit,Value,ValueQF
20100331,Number of Registered Places,S12000005,,All Adults,d,All Sectors,d,Number,310,
20100331,Number of Registered Places,S12000005,,All Adults,,Local Authority/Health Board Sectors,,Number,52,
20100331,Number of Registered Places,S12000005,,All Adults,,Private Sector,,Number,206,
20100331,Number of Registered Places,S12000005,,All Adults,,Voluntary or Not for Profit Sector,,Number,52,
20100331,Number of Registered Places,S12000006,,All Adults,d,All Sectors,d,Number,1379,
20100331,Number of Registered Places,S12000006,,All Adults,,Local Authority/Health Board Sectors,,Number,15,
20100331,Number of Registered Places,S12000006,,All Adults,,Private Sector,,Number,927,
20100331,Number of Registered Places,S12000006,,All Adults,,Voluntary or Not for Profit Sector,,Number,437,
20100331,Number of Registered Places,S12000008,,All Adults,d,All Sectors,d,Number,1028,
20100331,Number of Registered Places,S12000008,,All Adults,,Local Authority/Health Board Sectors,,Number,20,
20100331,Number of Registered Places,S12000008,,All Adults,,Private Sector,,Number,1008,
20100331,Number of Registered Places,S12000008,,All Adults,,Voluntary or Not for Profit Sector,,Number,0,
20100331,Number of Registered Places,S12000010,,All Adults,d,All Sectors,d,Number,692,
20100331,Number of Registered Places,S12000010,,All Adults,,Local Authority/Health Board Sectors,,Number,155,
20100331,Number of Registered Places,S12000010,,All Adults,,Private Sector,,Number,472,
20100331,Number of Registered Places,S12000010,,All Adults,,Voluntary or Not for Profit Sector,,Number,65,
20100331,Number of Registered Places,S12000011,,All Adults,d,All Sectors,d,Number,636,
20100331,Number of Registered Places,S12000011,,All Adults,,Local Authority/Health Board Sectors,,Number,34,
20100331,Number of Registered Places,S12000011,,All Adults,,Private Sector,,Number,397,
20100331,Number of Registered Places,S12000011,,All Adults,,Voluntary or Not for Profit Sector,,Number,205,
20100331,Number of Registered Places,S12000013,,All Adults,d,All Sectors,d,Number,227,
20100331,Number of Registered Places,S12000013,,All Adults,,Local Authority/Health Board Sectors,,Number,148,
20100331,Number of Registered Places,S12000013,,All Adults,,Private Sector,,Number,40,
20100331,Number of Registered Places,S12000013,,All Adults,,Voluntary or Not for Profit Sector,,Number,39,
20100331,Number of Registered Places,S12000014,,All Adults,d,All Sectors,d,Number,1141,
20100331,Number of Registered Places,S12000014,,All Adults,,Local Authority/Health Board Sectors,,Number,178,
20100331,Number of Registered Places,S12000014,,All Adults,,Private Sector,,Number,888,
20100331,Number of Registered Places,S12000014,,All Adults,,Voluntary or Not for Profit Sector,,Number,75,
20100331,Number of Registered Places,S12000017,,All Adults,d,All Sectors,d,Number,2224,
20100331,Number of Registered Places,S12000017,,All Adults,,Local Authority/Health Board Sectors,,Number,305,
20100331,Number of Registered Places,S12000017,,All Adults,,Private Sector,,Number,1648,
20100331,Number of Registered Places,S12000017,,All Adults,,Voluntary or Not for Profit Sector,,Number,271,
20100331,Number of Registered Places,S12000018,,All Adults,d,All Sectors,d,Number,904,
20100331,Number of Registered Places,S12000018,,All Adults,,Local Authority/Health Board Sectors,,Number,3,
20100331,Number of Registered Places,S12000018,,All Adults,,Private Sector,,Number,577,
20100331,Number of Registered Places,S12000018,,All Adults,,Voluntary or Not for Profit Sector,,Number,324,
20100331,Number of Registered Places,S12000019,,All Adults,d,All Sectors,d,Number,672,
20100331,Number of Registered Places,S12000019,,All Adults,,Local Authority/Health Board Sectors,,Number,146,
20100331,Number of Registered Places,S12000019,,All Adults,,Private Sector,,Number,405,
20100331,Number of Registered Places,S12000019,,All Adults,,Voluntary or Not for Profit Sector,,Number,121,
20100331,Number of Registered Places,S12000020,,All Adults,d,All Sectors,d,Number,641,
20100331,Number of Registered Places,S12000020,,All Adults,,Local Authority/Health Board Sectors,,Number,6,
20100331,Number of Registered Places,S12000020,,All Adults,,Private Sector,,Number,518,
20100331,Number of Registered Places,S12000020,,All Adults,,Voluntary or Not for Profit Sector,,Number,117,
20100331,Number of Registered Places,S12000021,,All Adults,d,All Sectors,d,Number,1295,
20100331,Number of Registered Places,S12000021,,All Adults,,Local Authority/Health Board Sectors,,Number,73,
20100331,Number of Registered Places,S12000021,,All Adults,,Private Sector,,Number,1065,
20100331,Number of Registered Places,S12000021,,All Adults,,Voluntary or Not for Profit Sector,,Number,157,
20100331,Number of Registered Places,S12000023,,All Adults,d,All Sectors,d,Number,140,
20100331,Number of Registered Places,S12000023,,All Adults,,Local Authority/Health Board Sectors,,Number,119,
20100331,Number of Registered Places,S12000023,,All Adults,,Private Sector,,Number,16,
20100331,Number of Registered Places,S12000023,,All Adults,,Voluntary or Not for Profit Sector,,Number,5,
20100331,Number of Registered Places,S12000026,,All Adults,d,All Sectors,d,Number,875,
20100331,Number of Registered Places,S12000026,,All Adults,,Local Authority/Health Board Sectors,,Number,203,
20100331,Number of Registered Places,S12000026,,All Adults,,Private Sector,,Number,479,
20100331,Number of Registered Places,S12000026,,All Adults,,Voluntary or Not for Profit Sector,,Number,193,
20100331,Number of Registered Places,S12000027,,All Adults,d,All Sectors,d,Number,154,
20100331,Number of Registered Places,S12000027,,All Adults,,Local Authority/Health Board Sectors,,Number,138,
20100331,Number of Registered Places,S12000027,,All Adults,,Private Sector,,Number,0,
20100331,Number of Registered Places,S12000027,,All Adults,,Voluntary or Not for Profit Sector,,Number,16,
20100331,Number of Registered Places,S12000028,,All Adults,d,All Sectors,d,Number,1043,
20100331,Number of Registered Places,S12000028,,All Adults,,Local Authority/Health Board Sectors,,Number,60,
20100331,Number of Registered Places,S12000028,,All Adults,,Private Sector,,Number,829,
20100331,Number of Registered Places,S12000028,,All Adults,,Voluntary or Not for Profit Sector,,Number,154,
20100331,Number of Registered Places,S12000029,,All Adults,d,All Sectors,d,Number,3077,
20100331,Number of Registered Places,S12000029,,All Adults,,Local Authority/Health Board Sectors,,Number,326,
20100331,Number of Registered Places,S12000029,,All Adults,,Private Sector,,Number,2255,
20100331,Number of Registered Places,S12000029,,All Adults,,Voluntary or Not for Profit Sector,,Number,496,
20100331,Number of Registered Places,S12000030,,All Adults,d,All Sectors,d,Number,782,
20100331,Number of Registered Places,S12000030,,All Adults,,Local Authority/Health Board Sectors,,Number,67,
20100331,Number of Registered Places,S12000030,,All Adults,,Private Sector,,Number,588,
20100331,Number of Registered Places,S12000030,,All Adults,,Voluntary or Not for Profit Sector,,Number,127,
20100331,Number of Registered Places,S12000033,,All Adults,d,All Sectors,d,Number,2178,
20100331,Number of Registered Places,S12000033,,All Adults,,Local Authority/Health Board Sectors,,Number,264,
20100331,Number of Registered Places,S12000033,,All Adults,,Private Sector,,Number,1300,
20100331,Number of Registered Places,S12000033,,All Adults,,Voluntary or Not for Profit Sector,,Number,614,
20100331,Number of Registered Places,S12000034,,All Adults,d,All Sectors,d,Number,2087,
20100331,Number of Registered Places,S12000034,,All Adults,,Local Authority/Health Board Sectors,,Number,310,
20100331,Number of Registered Places,S12000034,,All Adults,,Private Sector,,Number,1459,
20100331,Number of Registered Places,S12000034,,All Adults,,Voluntary or Not for Profit Sector,,Number,318,
20100331,Number of Registered Places,S12000035,,All Adults,d,All Sectors,d,Number,669,
20100331,Number of Registered Places,S12000035,,All Adults,,Local Authority/Health Board Sectors,,Number,109,
20100331,Number of Registered Places,S12000035,,All Adults,,Private Sector,,Number,437,
20100331,Number of Registered Places,S12000035,,All Adults,,Voluntary or Not for Profit Sector,,Number,123,
20100331,Number of Registered Places,S12000036,,All Adults,d,All Sectors,d,Number,3467,
20100331,Number of Registered Places,S12000036,,All Adults,,Local Authority/Health Board Sectors,,Number,607,
20100331,Number of Registered Places,S12000036,,All Adults,,Private Sector,,Number,1926,
20100331,Number of Registered Places,S12000036,,All Adults,,Voluntary or Not for Profit Sector,,Number,934,
20100331,Number of Registered Places,S12000038,,All Adults,d,All Sectors,d,Number,1536,
20100331,Number of Registered Places,S12000038,,All Adults,,Local Authority/Health Board Sectors,,Number,220,
20100331,Number of Registered Places,S12000038,,All Adults,,Private Sector,,Number,1036,
20100331,Number of Registered Places,S12000038,,All Adults,,Voluntary or Not for Profit Sector,,Number,280,
20100331,Number of Registered Places,S12000039,,All Adults,d,All Sectors,d,Number,620,
20100331,Number of Registered Places,S12000039,,All Adults,,Local Authority/Health Board Sectors,,Number,196,
20100331,Number of Registered Places,S12000039,,All Adults,,Private Sector,,Number,414,
20100331,Number of Registered Places,S12000039,,All Adults,,Voluntary or Not for Profit Sector,,Number,10,
20100331,Number of Registered Places,S12000040,,All Adults,d,All Sectors,d,Number,973,
20100331,Number of Registered Places,S12000040,,All Adults,,Local Authority/Health Board Sectors,,Number,154,
20100331,Number of Registered Places,S12000040,,All Adults,,Private Sector,,Number,742,
20100331,Number of Registered Places,S12000040,,All Adults,,Voluntary or Not for Profit Sector,,Number,77,
20100331,Number of Registered Places,S12000041,,All Adults,d,All Sectors,d,Number,1229,
20100331,Number of Registered Places,S12000041,,All Adults,,Local Authority/Health Board Sectors,,Number,147,
20100331,Number of Registered Places,S12000041,,All Adults,,Private Sector,,Number,1031,
20100331,Number of Registered Places,S12000041,,All Adults,,Voluntary or Not for Profit Sector,,Number,51,
20100331,Number of Registered Places,S12000042,,All Adults,d,All Sectors,d,Number,1251,
20100331,Number of Registered Places,S12000042,,All Adults,,Local Authority/Health Board Sectors,,Number,157,
20100331,Number of Registered Places,S12000042,,All Adults,,Private Sector,,Number,1005,
20100331,Number of Registered Places,S12000042,,All Adults,,Voluntary or Not for Profit Sector,,Number,89,
20100331,Number of Registered Places,S12000045,,All Adults,d,All Sectors,d,Number,607,
20100331,Number of Registered Places,S12000045,,All Adults,,Local Authority/Health Board Sectors,,Number,11,
20100331,Number of Registered Places,S12000045,,All Adults,,Private Sector,,Number,583,
20100331,Number of Registered Places,S12000045,,All Adults,,Voluntary or Not for Profit Sector,,Number,13,
20100331,Number of Registered Places,S12000047,,All Adults,d,All Sectors,d,Number,3013,
20100331,Number of Registered Places,S12000047,,All Adults,,Local Authority/Health Board Sectors,,Number,368,
20100331,Number of Registered Places,S12000047,,All Adults,,Private Sector,,Number,2463,
20100331,Number of Registered Places,S12000047,,All Adults,,Voluntary or Not for Profit Sector,,Number,182,
20100331,Number of Registered Places,S12000048,,All Adults,d,All Sectors,d,Number,1761,
20100331,Number of Registered Places,S12000048,,All Adults,,Local Authority/Health Board Sectors,,Number,124,
20100331,Number of Registered Places,S12000048,,All Adults,,Private Sector,,Number,1278,
20100331,Number of Registered Places,S12000048,,All Adults,,Voluntary or Not for Profit Sector,,Number,359,
20100331,Number of Registered Places,S12000049,,All Adults,d,All Sectors,d,Number,5009,
20100331,Number of Registered Places,S12000049,,All Adults,,Local Authority/Health Board Sectors,,Number,623,
20100331,Number of Registered Places,S12000049,,All Adults,,Private Sector,,Number,3350,
20100331,Number of Registered Places,S12000049,,All Adults,,Voluntary or Not for Profit Sector,,Number,1036,
20100331,Number of Registered Places,S12000050,,All Adults,d,All Sectors,d,Number,2267,
20100331,Number of Registered Places,S12000050,,All Adults,,Local Authority/Health Board Sectors,,Number,260,
20100331,Number of Registered Places,S12000050,,All Adults,,Private Sector,,Number,1958,
20100331,Number of Registered Places,S12000050,,All Adults,,Voluntary or Not for Profit Sector,,Number,49,
20100331,Number of Registered Places,S92000003,d,All Adults,d,All Sectors,d,Number,43887,
20100331,Number of Registered Places,S92000003,,All Adults,d,Local Authority/Health Board Sectors,,Number,5598,
20100331,Number of Registered Places,S92000003,,All Adults,d,Private Sector,,Number,31300,
20100331,Number of Registered Places,S92000003,,All Adults,d,Voluntary or Not for Profit Sector,,Number,6989,
20100331,Number of Registered Places,S12000005,,Learning Disabilities,,All Sectors,,Number,74,
20100331,Number of Registered Places,S12000006,,Learning Disabilities,,All Sectors,,Number,82,
20100331,Number of Registered Places,S12000008,,Learning Disabilities,,All Sectors,,Number,60,
20100331,Number of Registered Places,S12000010,,Learning Disabilities,,All Sectors,,Number,14,
20100331,Number of Registered Places,S12000011,,Learning Disabilities,,All Sectors,,Number,10,
20100331,Number of Registered Places,S12000013,,Learning Disabilities,,All Sectors,,Number,11,
20100331,Number of Registered Places,S12000014,,Learning Disabilities,,All Sectors,,Number,106,
20100331,Number of Registered Places,S12000017,,Learning Disabilities,,All Sectors,,Number,112,
20100331,Number of Registered Places,S12000018,,Learning Disabilities,,All Sectors,,Number,38,
20100331,Number of Registered Places,S12000019,,Learning Disabilities,,All Sectors,,Number,83,
20100331,Number of Registered Places,S12000020,,Learning Disabilities,,All Sectors,,Number,47,
20100331,Number of Registered Places,S12000021,,Learning Disabilities,,All Sectors,,Number,101,
20100331,Number of Registered Places,S12000023,,Learning Disabilities,,All Sectors,,Number,7,
20100331,Number of Registered Places,S12000026,,Learning Disabilities,,All Sectors,,Number,125,
20100331,Number of Registered Places,S12000027,,Learning Disabilities,,All Sectors,,Number,0,
20100331,Number of Registered Places,S12000028,,Learning Disabilities,,All Sectors,,Number,87,
