Date,KeyStatistic,CA,MainClientGroup,Sector,Unit,Value,ValueQF
20100331,Percentage Occupancy,S12000005,All Adults,All Sectors,Percentage,91,
20100331,Percentage Occupancy,S12000005,All Adults,Local Authority/Health Board Sectors,Percentage,92,
20100331,Percentage Occupancy,S12000005,All Adults,Private Sector,Percentage,89,
20100331,Percentage Occupancy,S12000005,All Adults,Voluntary or Not for Profit Sector,Percentage,96,
20100331,Percentage Occupancy,S12000006,All Adults,All Sectors,Percentage,82,
20100331,Percentage Occupancy,S12000006,All Adults,Local Authority/Health Board Sectors,Percentage,87,
20100331,Percentage Occupancy,S12000006,All Adults,Private Sector,Percentage,82,
20100331,Percentage Occupancy,S12000006,All Adults,Voluntary or Not for Profit Sector,Percentage,81,
20100331,Percentage Occupancy,S12000008,All Adults,All Sectors,Percentage,86,
20100331,Percentage Occupancy,S12000008,All Adults,Local Authority/Health Board Sectors,Percentage,100,
20100331,Percentage Occupancy,S12000008,All Adults,Private Sector,Percentage,86,
20100331,Percentage Occupancy,S12000008,All Adults,Voluntary or Not for Profit Sector,Percentage,0,
20100331,Percentage Occupancy,S12000010,All Adults,All Sectors,Percentage,89,
20100331,Percentage Occupancy,S12000010,All Adults,Local Authority/Health Board Sectors,Percentage,83,
20100331,Percentage Occupancy,S12000010,All Adults,Private Sector,Percentage,90,
20100331,Percentage Occupancy,S12000010,All Adults,Voluntary or Not for Profit Sector,Percentage,94,
20100331,Percentage Occupancy,S12000011,All Adults,All Sectors,Percentage,83,
20100331,Percentage Occupancy,S12000011,All Adults,Local Authority/Health Board Sectors,Percentage,100,
20100331,Percentage Occupancy,S12000011,All Adults,Private Sector,Percentage,78,
20100331,Percentage Occupancy,S12000011,All Adults,Voluntary or Not for Profit Sector,Percentage,89,
20100331,Percentage Occupancy,S12000013,All Adults,All Sectors,Percentage,88,
20100331,Percentage Occupancy,S12000013,All Adults,Local Authority/Health Board Sectors,Percentage,83,
