date,council_area_2019,main_client_group,sector,percentage_occupancy,council_area,financial_year
2010-03-31,S12000005,All Adults,All Sectors,91,Clackmannanshire,2009/10
2010-03-31,S12000005,All Adults,Local Authority/Health Board Sectors,92,Clackmannanshire,2009/10
2010-03-31,S12000005,All Adults,Private Sector,89,Clackmannanshire,2009/10
2010-03-31,S12000005,All Adults,Voluntary or Not for Profit Sector,96,Clackmannanshire,2009/10
2010-03-31,S12000006,All Adults,All Sectors,82,Dumfries and Galloway,2009/10
2010-03-31,S12000006,All Adults,Local Authority/Health Board Sectors,87,Dumfries and Galloway,2009/10
2010-03-31,S12000006,All Adults,Private Sector,82,Dumfries and Galloway,2009/10
2010-03-31,S12000006,All Adults,Voluntary or Not for Profit Sector,81,Dumfries and Galloway,2009/10
2010-03-31,S12000008,All Adults,All Sectors,86,East Ayrshire,2009/10
2010-03-31,S12000008,All Adults,Local Authority/Health Board Sectors,100,East Ayrshire,2009/10
2010-03-31,S12000008,All Adults,Private Sector,86,East Ayrshire,2009/10
2010-03-31,S12000008,All Adults,Voluntary or Not for Profit Sector,0,East Ayrshire,2009/10
2010-03-31,S12000010,All Adults,All Sectors,89,East Lothian,2009/10
2010-03-31,S12000010,All Adults,Local Authority/Health Board Sectors,83,East Lothian,2009/10
2010-03-31,S12000010,All Adults,Private Sector,90,East Lothian,2009/10
2010-03-31,S12000010,All Adults,Voluntary or Not for Profit Sector,94,East Lothian,2009/10
2010-03-31,S12000011,All Adults,All Sectors,83,East Renfrewshire,2009/10
2010-03-31,S12000011,All Adults,Local Authority/Health Board Sectors,100,East Renfrewshire,2009/10
2010-03-31,S12000011,All Adults,Private Sector,78,East Renfrewshire,2009/10
2010-03-31,S12000011,All Adults,Voluntary or Not for Profit Sector,89,East Renfrewshire,2009/10
2010-03-31,S12000013,All Adults,All Sectors,88,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,All Adults,Local Authority/Health Board Sectors,83,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,All Adults,Private Sector,95,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,All Adults,Voluntary or Not for Profit Sector,97,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,All Adults,All Sectors,85,Falkirk,2009/10
2010-03-31,S12000014,All Adults,Local Authority/Health Board Sectors,85,Falkirk,2009/10
2010-03-31,S12000014,All Adults,Private Sector,85,Falkirk,2009/10
2010-03-31,S12000014,All Adults,Voluntary or Not for Profit Sector,85,Falkirk,2009/10
2010-03-31,S12000017,All Adults,All Sectors,88,Highland,2009/10
