date,sex,age_group,council_area_2019,main_client_group,number_of_people,council_area,financial_year
2010-03-31,Female,18-64,S92000003,All Adults,2123,Scotland,2009/10
2010-03-31,Female,65-74,S92000003,All Adults,1902,Scotland,2009/10
2010-03-31,Female,75-84,S92000003,All Adults,7556,Scotland,2009/10
2010-03-31,Female,85-94,S92000003,All Adults,10946,Scotland,2009/10
2010-03-31,Female,95 and Older,S92000003,All Adults,2304,Scotland,2009/10
2010-03-31,Male,18-64,S92000003,All Adults,2852,Scotland,2009/10
2010-03-31,Male,65-74,S92000003,All Adults,1858,Scotland,2009/10
2010-03-31,Male,75-84,S92000003,All Adults,3504,Scotland,2009/10
2010-03-31,Male,85-94,S92000003,All Adults,2960,Scotland,2009/10
2010-03-31,Male,95 and Older,S92000003,All Adults,354,Scotland,2009/10
2011-03-31,Female,18-64,S92000003,All Adults,1954,Scotland,2010/11
2011-03-31,Female,65-74,S92000003,All Adults,2078,Scotland,2010/11
2011-03-31,Female,75-84,S92000003,All Adults,7655,Scotland,2010/11
2011-03-31,Female,85-94,S92000003,All Adults,11347,Scotland,2010/11
2011-03-31,Female,95 and Older,S92000003,All Adults,2214,Scotland,2010/11
2011-03-31,Male,18-64,S92000003,All Adults,2393,Scotland,2010/11
2011-03-31,Male,65-74,S92000003,All Adults,1774,Scotland,2010/11
2011-03-31,Male,75-84,S92000003,All Adults,3373,Scotland,2010/11
2011-03-31,Male,85-94,S92000003,All Adults,2907,Scotland,2010/11
2011-03-31,Male,95 and Older,S92000003,All Adults,305,Scotland,2010/11
2012-03-31,Female,18-64,S92000003,All Adults,1984,Scotland,2011/12
2012-03-31,Female,65-74,S92000003,All Adults,2102,Scotland,2011/12
2012-03-31,Female,75-84,S92000003,All Adults,7660,Scotland,2011/12
2012-03-31,Female,85-94,S92000003,All Adults,10974,Scotland,2011/12
2012-03-31,Female,95 and Older,S92000003,All Adults,2030,Scotland,2011/12
2012-03-31,Male,18-64,S92000003,All Adults,2496,Scotland,2011/12
2012-03-31,Male,65-74,S92000003,All Adults,1846,Scotland,2011/12
