financial_year,council_area,sector,main_client_group,number_of_places
2009/10,Aberdeen City,All Sectors,All Adults,2178
2009/10,Aberdeen City,All Sectors,Learning Disabilities,233
2009/10,Aberdeen City,All Sectors,Mental Health Problems,125
2009/10,Aberdeen City,All Sectors,Older People Aged 65 and Older,1709
2009/10,Aberdeen City,All Sectors,Other Groups,49
2009/10,Aberdeen City,All Sectors,Physical and Sensory Impairment,62
2009/10,Aberdeen City,Local Authority/Health Board Sectors,All Adults,264
2009/10,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,205
2009/10,Aberdeen City,Private Sector,All Adults,1300
2009/10,Aberdeen City,Private Sector,Older People Aged 65 and Older,1276
2009/10,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,614
2009/10,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,228
2009/10,Aberdeenshire,All Sectors,All Adults,2087
2009/10,Aberdeenshire,All Sectors,Learning Disabilities,200
2009/10,Aberdeenshire,All Sectors,Mental Health Problems,12
2009/10,Aberdeenshire,All Sectors,Older People Aged 65 and Older,1865
2009/10,Aberdeenshire,All Sectors,Other Groups,0
2009/10,Aberdeenshire,All Sectors,Physical and Sensory Impairment,10
2009/10,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,310
2009/10,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,279
2009/10,Aberdeenshire,Private Sector,All Adults,1459
2009/10,Aberdeenshire,Private Sector,Older People Aged 65 and Older,1420
2009/10,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,318
2009/10,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,166
2009/10,Angus,All Sectors,All Adults,1229
2009/10,Angus,All Sectors,Learning Disabilities,117
2009/10,Angus,All Sectors,Mental Health Problems,0
2009/10,Angus,All Sectors,Older People Aged 65 and Older,1112
2009/10,Angus,All Sectors,Other Groups,0
2009/10,Angus,All Sectors,Physical and Sensory Impairment,0
2009/10,Angus,Local Authority/Health Board Sectors,All Adults,147
2009/10,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,106
2009/10,Angus,Private Sector,All Adults,1031
2009/10,Angus,Private Sector,Older People Aged 65 and Older,966
2009/10,Angus,Voluntary or Not for Profit Sector,All Adults,51
2009/10,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,40
2009/10,Argyll and Bute,All Sectors,All Adults,669
2009/10,Argyll and Bute,All Sectors,Learning Disabilities,22
2009/10,Argyll and Bute,All Sectors,Mental Health Problems,0
2009/10,Argyll and Bute,All Sectors,Older People Aged 65 and Older,603
2009/10,Argyll and Bute,All Sectors,Other Groups,44
2009/10,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2009/10,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,109
2009/10,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,102
2009/10,Argyll and Bute,Private Sector,All Adults,437
