financial_year,council_area,sector,main_client_group,percentage_occupancy
2009/10,Aberdeen City,All Sectors,All Adults,87
2009/10,Aberdeen City,All Sectors,Learning Disabilities,91
2009/10,Aberdeen City,All Sectors,Mental Health Problems,95
2009/10,Aberdeen City,All Sectors,Older People Aged 65 and Older,85
2009/10,Aberdeen City,All Sectors,Other Groups,84
2009/10,Aberdeen City,All Sectors,Physical and Sensory Impairment,85
2009/10,Aberdeen City,Local Authority/Health Board Sectors,All Adults,76
2009/10,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,73
2009/10,Aberdeen City,Private Sector,All Adults,86
2009/10,Aberdeen City,Private Sector,Older People Aged 65 and Older,87
2009/10,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,92
2009/10,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2009/10,Aberdeenshire,All Sectors,All Adults,88
2009/10,Aberdeenshire,All Sectors,Learning Disabilities,88
2009/10,Aberdeenshire,All Sectors,Mental Health Problems,100
2009/10,Aberdeenshire,All Sectors,Older People Aged 65 and Older,88
2009/10,Aberdeenshire,All Sectors,Other Groups,0
2009/10,Aberdeenshire,All Sectors,Physical and Sensory Impairment,90
2009/10,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,82
2009/10,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2009/10,Aberdeenshire,Private Sector,All Adults,88
2009/10,Aberdeenshire,Private Sector,Older People Aged 65 and Older,88
2009/10,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,93
2009/10,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2009/10,Angus,All Sectors,All Adults,88
2009/10,Angus,All Sectors,Learning Disabilities,82
2009/10,Angus,All Sectors,Mental Health Problems,0
2009/10,Angus,All Sectors,Older People Aged 65 and Older,89
2009/10,Angus,All Sectors,Other Groups,0
2009/10,Angus,All Sectors,Physical and Sensory Impairment,0
2009/10,Angus,Local Authority/Health Board Sectors,All Adults,90
2009/10,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,95
2009/10,Angus,Private Sector,All Adults,88
2009/10,Angus,Private Sector,Older People Aged 65 and Older,88
2009/10,Angus,Voluntary or Not for Profit Sector,All Adults,98
2009/10,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,98
2009/10,Argyll and Bute,All Sectors,All Adults,84
2009/10,Argyll and Bute,All Sectors,Learning Disabilities,68
2009/10,Argyll and Bute,All Sectors,Mental Health Problems,0
2009/10,Argyll and Bute,All Sectors,Older People Aged 65 and Older,85
2009/10,Argyll and Bute,All Sectors,Other Groups,75
2009/10,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2009/10,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,80
2009/10,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,79
2009/10,Argyll and Bute,Private Sector,All Adults,85
2009/10,Argyll and Bute,Private Sector,Older People Aged 65 and Older,86
2009/10,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,85
2009/10,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2009/10,City of Edinburgh,All Sectors,All Adults,90
2009/10,City of Edinburgh,All Sectors,Learning Disabilities,92
2009/10,City of Edinburgh,All Sectors,Mental Health Problems,82
2009/10,City of Edinburgh,All Sectors,Older People Aged 65 and Older,90
2009/10,City of Edinburgh,All Sectors,Other Groups,75
2009/10,City of Edinburgh,All Sectors,Physical and Sensory Impairment,95
2009/10,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,87
2009/10,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2009/10,City of Edinburgh,Private Sector,All Adults,89
2009/10,City of Edinburgh,Private Sector,Older People Aged 65 and Older,89
2009/10,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,93
2009/10,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2009/10,Clackmannanshire,All Sectors,All Adults,91
2009/10,Clackmannanshire,All Sectors,Learning Disabilities,91
2009/10,Clackmannanshire,All Sectors,Mental Health Problems,100
2009/10,Clackmannanshire,All Sectors,Older People Aged 65 and Older,90
2009/10,Clackmannanshire,All Sectors,Other Groups,0
2009/10,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2009/10,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,92
2009/10,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,92
2009/10,Clackmannanshire,Private Sector,All Adults,89
2009/10,Clackmannanshire,Private Sector,Older People Aged 65 and Older,89
2009/10,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,96
2009/10,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,Dumfries and Galloway,All Sectors,All Adults,82
2009/10,Dumfries and Galloway,All Sectors,Learning Disabilities,83
2009/10,Dumfries and Galloway,All Sectors,Mental Health Problems,62
2009/10,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,84
2009/10,Dumfries and Galloway,All Sectors,Other Groups,20
2009/10,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,87
2009/10,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2009/10,Dumfries and Galloway,Private Sector,All Adults,82
2009/10,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,83
2009/10,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,81
2009/10,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,87
2009/10,Dundee City,All Sectors,All Adults,87
2009/10,Dundee City,All Sectors,Learning Disabilities,83
2009/10,Dundee City,All Sectors,Mental Health Problems,0
2009/10,Dundee City,All Sectors,Older People Aged 65 and Older,88
2009/10,Dundee City,All Sectors,Other Groups,0
2009/10,Dundee City,All Sectors,Physical and Sensory Impairment,92
2009/10,Dundee City,Local Authority/Health Board Sectors,All Adults,94
2009/10,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2009/10,Dundee City,Private Sector,All Adults,85
2009/10,Dundee City,Private Sector,Older People Aged 65 and Older,86
2009/10,Dundee City,Voluntary or Not for Profit Sector,All Adults,98
2009/10,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,98
2009/10,East Ayrshire,All Sectors,All Adults,86
2009/10,East Ayrshire,All Sectors,Learning Disabilities,77
2009/10,East Ayrshire,All Sectors,Mental Health Problems,100
2009/10,East Ayrshire,All Sectors,Older People Aged 65 and Older,86
2009/10,East Ayrshire,All Sectors,Other Groups,0
2009/10,East Ayrshire,All Sectors,Physical and Sensory Impairment,100
2009/10,East Ayrshire,Local Authority/Health Board Sectors,All Adults,100
2009/10,East Ayrshire,Private Sector,All Adults,86
2009/10,East Ayrshire,Private Sector,Older People Aged 65 and Older,86
2009/10,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2009/10,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,East Dunbartonshire,All Sectors,All Adults,73
2009/10,East Dunbartonshire,All Sectors,Learning Disabilities,94
2009/10,East Dunbartonshire,All Sectors,Mental Health Problems,96
2009/10,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,71
2009/10,East Dunbartonshire,All Sectors,Other Groups,0
2009/10,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2009/10,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,100
2009/10,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2009/10,East Dunbartonshire,Private Sector,All Adults,72
2009/10,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,71
2009/10,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,92
2009/10,East Lothian,All Sectors,All Adults,89
2009/10,East Lothian,All Sectors,Learning Disabilities,64
2009/10,East Lothian,All Sectors,Mental Health Problems,0
2009/10,East Lothian,All Sectors,Older People Aged 65 and Older,89
2009/10,East Lothian,All Sectors,Other Groups,0
2009/10,East Lothian,All Sectors,Physical and Sensory Impairment,100
2009/10,East Lothian,Local Authority/Health Board Sectors,All Adults,83
2009/10,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2009/10,East Lothian,Private Sector,All Adults,90
2009/10,East Lothian,Private Sector,Older People Aged 65 and Older,90
2009/10,East Lothian,Voluntary or Not for Profit Sector,All Adults,94
2009/10,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2009/10,East Renfrewshire,All Sectors,All Adults,83
2009/10,East Renfrewshire,All Sectors,Learning Disabilities,100
2009/10,East Renfrewshire,All Sectors,Mental Health Problems,0
2009/10,East Renfrewshire,All Sectors,Older People Aged 65 and Older,83
2009/10,East Renfrewshire,All Sectors,Other Groups,0
2009/10,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2009/10,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,100
2009/10,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,100
2009/10,East Renfrewshire,Private Sector,All Adults,78
2009/10,East Renfrewshire,Private Sector,Older People Aged 65 and Older,78
2009/10,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,89
2009/10,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2009/10,Falkirk,All Sectors,All Adults,85
2009/10,Falkirk,All Sectors,Learning Disabilities,92
2009/10,Falkirk,All Sectors,Mental Health Problems,94
2009/10,Falkirk,All Sectors,Older People Aged 65 and Older,84
2009/10,Falkirk,All Sectors,Other Groups,0
2009/10,Falkirk,All Sectors,Physical and Sensory Impairment,0
2009/10,Falkirk,Local Authority/Health Board Sectors,All Adults,85
2009/10,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2009/10,Falkirk,Private Sector,All Adults,85
2009/10,Falkirk,Private Sector,Older People Aged 65 and Older,84
2009/10,Falkirk,Voluntary or Not for Profit Sector,All Adults,85
2009/10,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2009/10,Fife,All Sectors,All Adults,84
2009/10,Fife,All Sectors,Learning Disabilities,79
2009/10,Fife,All Sectors,Mental Health Problems,96
2009/10,Fife,All Sectors,Older People Aged 65 and Older,84
2009/10,Fife,All Sectors,Other Groups,0
2009/10,Fife,All Sectors,Physical and Sensory Impairment,88
2009/10,Fife,Local Authority/Health Board Sectors,All Adults,85
2009/10,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,88
2009/10,Fife,Private Sector,All Adults,84
2009/10,Fife,Private Sector,Older People Aged 65 and Older,83
2009/10,Fife,Voluntary or Not for Profit Sector,All Adults,94
2009/10,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,99
2009/10,Glasgow City,All Sectors,All Adults,87
2009/10,Glasgow City,All Sectors,Learning Disabilities,82
2009/10,Glasgow City,All Sectors,Mental Health Problems,90
2009/10,Glasgow City,All Sectors,Older People Aged 65 and Older,86
2009/10,Glasgow City,All Sectors,Other Groups,91
2009/10,Glasgow City,All Sectors,Physical and Sensory Impairment,97
2009/10,Glasgow City,Local Authority/Health Board Sectors,All Adults,89
2009/10,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2009/10,Glasgow City,Private Sector,All Adults,85
2009/10,Glasgow City,Private Sector,Older People Aged 65 and Older,85
2009/10,Glasgow City,Voluntary or Not for Profit Sector,All Adults,91
2009/10,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,94
2009/10,Highland,All Sectors,All Adults,88
2009/10,Highland,All Sectors,Learning Disabilities,85
2009/10,Highland,All Sectors,Mental Health Problems,88
2009/10,Highland,All Sectors,Older People Aged 65 and Older,90
2009/10,Highland,All Sectors,Other Groups,22
2009/10,Highland,All Sectors,Physical and Sensory Impairment,80
2009/10,Highland,Local Authority/Health Board Sectors,All Adults,87
2009/10,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,87
2009/10,Highland,Private Sector,All Adults,89
2009/10,Highland,Private Sector,Older People Aged 65 and Older,90
2009/10,Highland,Voluntary or Not for Profit Sector,All Adults,85
2009/10,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2009/10,Inverclyde,All Sectors,All Adults,89
2009/10,Inverclyde,All Sectors,Learning Disabilities,87
2009/10,Inverclyde,All Sectors,Mental Health Problems,100
2009/10,Inverclyde,All Sectors,Older People Aged 65 and Older,89
2009/10,Inverclyde,All Sectors,Other Groups,0
2009/10,Inverclyde,All Sectors,Physical and Sensory Impairment,93
2009/10,Inverclyde,Private Sector,All Adults,87
2009/10,Inverclyde,Private Sector,Older People Aged 65 and Older,87
2009/10,Inverclyde,Voluntary or Not for Profit Sector,All Adults,92
2009/10,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2009/10,Midlothian,All Sectors,All Adults,89
2009/10,Midlothian,All Sectors,Learning Disabilities,88
2009/10,Midlothian,All Sectors,Mental Health Problems,0
2009/10,Midlothian,All Sectors,Older People Aged 65 and Older,89
2009/10,Midlothian,All Sectors,Other Groups,0
2009/10,Midlothian,All Sectors,Physical and Sensory Impairment,0
2009/10,Midlothian,Local Authority/Health Board Sectors,All Adults,94
2009/10,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2009/10,Midlothian,Private Sector,All Adults,87
2009/10,Midlothian,Private Sector,Older People Aged 65 and Older,87
2009/10,Midlothian,Voluntary or Not for Profit Sector,All Adults,88
