financial_year,council_area,sex,age_group,number_of_people
2009/10,Scotland,Female,18-64,2123
2009/10,Scotland,Female,65-74,1902
2009/10,Scotland,Female,75-84,7556
2009/10,Scotland,Female,85-94,10946
2009/10,Scotland,Female,95 and Older,2304
2009/10,Scotland,Male,18-64,2852
2009/10,Scotland,Male,65-74,1858
2009/10,Scotland,Male,75-84,3504
2009/10,Scotland,Male,85-94,2960
2009/10,Scotland,Male,95 and Older,354
2010/11,Scotland,Female,18-64,1954
2010/11,Scotland,Female,65-74,2078
2010/11,Scotland,Female,75-84,7655
2010/11,Scotland,Female,85-94,11347
2010/11,Scotland,Female,95 and Older,2214
2010/11,Scotland,Male,18-64,2393
2010/11,Scotland,Male,65-74,1774
2010/11,Scotland,Male,75-84,3373
2010/11,Scotland,Male,85-94,2907
2010/11,Scotland,Male,95 and Older,305
2011/12,Scotland,Female,18-64,1984
2011/12,Scotland,Female,65-74,2102
2011/12,Scotland,Female,75-84,7660
2011/12,Scotland,Female,85-94,10974
2011/12,Scotland,Female,95 and Older,2030
2011/12,Scotland,Male,18-64,2496
2011/12,Scotland,Male,65-74,1846
2011/12,Scotland,Male,75-84,3478
2011/12,Scotland,Male,85-94,2908
2011/12,Scotland,Male,95 and Older,297
2012/13,Scotland,Female,18-64,1751
2012/13,Scotland,Female,65-74,1928
2012/13,Scotland,Female,75-84,6958
2012/13,Scotland,Female,85-94,11191
2012/13,Scotland,Female,95 and Older,2207
2012/13,Scotland,Male,18-64,2198
2012/13,Scotland,Male,65-74,1813
2012/13,Scotland,Male,75-84,3362
2012/13,Scotland,Male,85-94,3171
2012/13,Scotland,Male,95 and Older,355
2013/14,Scotland,Female,18-64,1592
2013/14,Scotland,Female,65-74,1794
2013/14,Scotland,Female,75-84,6874
2013/14,Scotland,Female,85-94,11606
2013/14,Scotland,Female,95 and Older,2224
2013/14,Scotland,Male,18-64,2066
2013/14,Scotland,Male,65-74,1789
2013/14,Scotland,Male,75-84,3411
2013/14,Scotland,Male,85-94,3298
2013/14,Scotland,Male,95 and Older,358
2014/15,Scotland,Female,18-64,1652
2014/15,Scotland,Female,65-74,1756
2014/15,Scotland,Female,75-84,6684
2014/15,Scotland,Female,85-94,11263
2014/15,Scotland,Female,95 and Older,2330
2014/15,Scotland,Male,18-64,2062
2014/15,Scotland,Male,65-74,1764
2014/15,Scotland,Male,75-84,3377
2014/15,Scotland,Male,85-94,3187
2014/15,Scotland,Male,95 and Older,407
2015/16,Scotland,Female,18-64,1498
2015/16,Scotland,Female,65-74,1769
2015/16,Scotland,Female,75-84,6582
2015/16,Scotland,Female,85-94,11319
2015/16,Scotland,Female,95 and Older,2532
2015/16,Scotland,Male,18-64,2043
2015/16,Scotland,Male,65-74,1810
2015/16,Scotland,Male,75-84,3457
2015/16,Scotland,Male,85-94,3239
2015/16,Scotland,Male,95 and Older,489
2016/17,Scotland,Female,18-64,1463
2016/17,Scotland,Female,65-74,1791
2016/17,Scotland,Female,75-84,6288
2016/17,Scotland,Female,85-94,10992
2016/17,Scotland,Female,95 and Older,2575
2016/17,Scotland,Male,18-64,2069
2016/17,Scotland,Male,65-74,1790
2016/17,Scotland,Male,75-84,3463
2016/17,Scotland,Male,85-94,3181
2016/17,Scotland,Male,95 and Older,490
2017/18,Aberdeen City,Female,18-64,118
2017/18,Aberdeen City,Female,65-74,71
2017/18,Aberdeen City,Female,75-84,230
2017/18,Aberdeen City,Female,85-94,403
2017/18,Aberdeen City,Female,95 and Older,80
2017/18,Aberdeen City,Male,18-64,128
2017/18,Aberdeen City,Male,65-74,63
2017/18,Aberdeen City,Male,75-84,116
2017/18,Aberdeen City,Male,85-94,129
2017/18,Aberdeen City,Male,95 and Older,16
2017/18,Aberdeenshire,Female,18-64,85
2017/18,Aberdeenshire,Female,65-74,92
2017/18,Aberdeenshire,Female,75-84,307
2017/18,Aberdeenshire,Female,85-94,510
2017/18,Aberdeenshire,Female,95 and Older,119
2017/18,Aberdeenshire,Male,18-64,82
2017/18,Aberdeenshire,Male,65-74,78
2017/18,Aberdeenshire,Male,75-84,144
